Date,Portfolio,Benchmark
2020-09-14,1.0,1.0401719193489063
2020-09-15,1.0,1.0427657037399392
2020-09-16,1.0,1.0484946465860208
2020-09-17,1.0,1.042858237260523
2020-09-18,1.0,1.0320866684290528
2020-09-21,1.0,1.0093438861113908
2020-09-22,1.0,1.0158007755600047
2020-09-23,1.0,0.9935810994087678
2020-09-24,1.0,0.9957046465164744
2020-09-25,1.0,1.009726266296208
2020-09-28,1.0,1.028385441057516
2020-09-29,1.0,1.0220121882043522
2020-09-30,1.0,1.0284144418247683
2020-10-01,1.0,1.032643457508946
2020-10-02,1.0,1.0358217524033682
2020-10-05,1.0,1.0544376572509084
2020-10-06,1.0,1.0450399986553243
2020-10-07,1.0,1.0626155611186636
2020-10-08,1.0,1.0771344720061475
2020-10-09,1.0,1.080359912061664
2020-10-12,1.0,1.0883361392212165
2020-10-13,1.0,1.0794136562576109
2020-10-14,1.0,1.0762931878204145
2020-10-15,1.0,1.079729713053316
2020-10-16,1.0,1.0785813101020858
2020-10-19,1.0,1.0644874957698518
2020-10-20,1.0,1.070174120931455
2020-10-21,1.0,1.0659466215256233
2020-10-22,1.0,1.0773457053623892
2020-10-23,1.0,1.0825838197259734
2020-10-26,1.0,1.058824563601835
2020-10-27,1.0,1.046617258987331
2020-10-28,1.0,1.0148081639347133
2020-10-29,1.0,1.0259910256380624
2020-10-30,1.0,1.021606173445101
2020-11-02,1.0,1.0429435420049302
2020-11-03,1.0,1.0642237214751866
2020-11-04,1.0,1.0705427165944432
2020-11-05,1.0,1.0925765158784497
2020-11-06,1.0,1.0916487944615234
2020-11-09,1.0,1.1307501739545447
2020-11-10,1.0,1.1383121621339516
2020-11-11,1.0,1.1401729372952527
2020-11-12,1.0,1.123912957978266
2020-11-13,1.0,1.1470666183872067
2020-11-16,1.0,1.168061708064956
2020-11-17,1.0,1.1655362366475566
2020-11-18,1.0,1.1527355147584153
2020-11-19,1.0,1.1588838688730618
2020-11-20,1.0,1.1528471470501267
2020-11-23,1.0,1.1685875304981923
2020-11-24,1.0,1.1894498427111313
2020-11-25,1.0,1.1847435702643874
2020-11-27,1.0,1.1858320962171618
2020-11-30,1.0,1.176072785528327
2020-12-01,1.0,1.1866830629937954
2020-12-02,1.0,1.1872130728260828
2020-12-03,1.0,1.1925142538792233
2020-12-04,1.0,1.2100902496993458
2020-12-07,1.0,1.2057706357849614
2020-12-08,1.0,1.2098082130513137
2020-12-09,1.0,1.2044245180194575
2020-12-10,1.0,1.2043286197500935
2020-12-11,1.0,1.1996568573818396
2020-12-14,1.0,1.191857938871016
2020-12-15,1.0,1.2097254710371483
2020-12-16,1.0,1.2080850408743322
2020-12-17,1.0,1.2177987067632594
2020-12-18,1.0,1.2144257700271124
2020-12-21,1.0,1.2074643820072852
2020-12-22,1.0,1.2050800795785996
2020-12-23,1.0,1.2101739328878278
2020-12-24,1.0,1.2129947790482807
2020-12-28,1.0,1.2142548307776426
2020-12-29,1.0,1.2080850556240472
2020-12-30,1.0,1.2158140876918202
2020-12-31,1.0,1.2245048190159409
2021-01-04,0.9910346504324349,1.2047660802483822
2021-01-05,0.9948425408551225,1.2163673191917201
2021-01-06,1.0016806437154073,1.2422323193917222
2021-01-07,1.0084676121536655,1.2551124518474588
2021-01-08,1.0143524221135458,1.2579435155631242
2021-01-11,1.0062947166526846,1.2562802151833734
2021-01-12,1.0037444164183256,1.2645866564412576
2021-01-13,1.0060512293832646,1.2615751866087341
2021-01-14,0.9998064066540693,1.264752462678808
2021-01-15,1.000869926642644,1.2569336466934786
2021-01-19,1.0023338629101568,1.2626707467442055
2021-01-20,1.0140946286418544,1.2725423043823818
2021-01-21,1.01123479337901,1.265799069600826
2021-01-22,1.0086592763982765,1.2614655249077371
2021-01-25,1.0136408314354284,1.2606553199185915
2021-01-26,1.0110072883406507,1.2528988676646162
2021-01-27,0.9875407157290221,1.2228820601437
2021-01-28,1.007486033274874,1.2383413523238382
2021-01-29,0.9928189144700491,1.2169209620430146
2021-02-01,1.0057067184105555,1.2343068540068254
2021-02-02,1.0191910438417877,1.252132777027798
2021-02-03,1.01452825040481,1.2546170750008496
2021-02-04,1.0186084800985737,1.2704896479435546
2021-02-05,1.025156603291337,1.2776354286175002
2021-02-08,1.0334544423360121,1.291973841465256
2021-02-09,1.034323650837454,1.292175144613582
2021-02-10,1.0378346761481374,1.2958164403970878
2021-02-11,1.0378464019761957,1.2980744039292196
2021-02-12,1.0412230144062078,1.3044481666147831
2021-02-16,1.0343217821518331,1.303781832411916
2021-02-17,1.038820441309853,1.3035144378199481
2021-02-18,1.0402659068116669,1.2968669179654946
2021-02-19,1.0356657210873743,1.3052363557184186
2021-02-22,1.022737837389369,1.3027369998015461
2021-02-23,1.0197422681239179,1.3054939071272822
2021-02-24,1.0212925652978002,1.3222900823087678
2021-02-25,1.0059799123436717,1.2920616117505124
2021-02-26,1.0058088109071854,1.2841915178813301
2021-03-01,1.0241775521759067,1.313045292767022
2021-03-02,1.0174694284234638,1.306777165209657
2021-03-03,0.9983168351597184,1.2965626071178304
2021-03-04,0.9782898274836093,1.2771580448934332
2021-03-05,0.9916425484645909,1.3050045633636778
2021-03-08,0.9782665629890883,1.3096180333141672
2021-03-09,1.0114263617472894,1.318131334463722
2021-03-10,1.01002051101423,1.3312604080035968
2021-03-11,1.0374468149568816,1.3429837883655966
2021-03-12,1.0335299287096233,1.3507147137834044
2021-03-15,1.0488656134214702,1.364566202414314
2021-03-16,1.0442592032521716,1.3548423272517918
2021-03-17,1.0448598105411084,1.3598629479437891
2021-03-18,1.0235699575646486,1.3447635970667213
2021-03-19,1.0330119518510987,1.3449103722009914
2021-03-22,1.0470900273351047,1.3475902457785205
2021-03-23,1.0345951249075158,1.329759770105167
2021-03-24,1.0238857834990085,1.3268525690148896
2021-03-25,1.026494175044261,1.3416220301746586
2021-03-26,1.0501565144697191,1.3663200531061181
2021-03-29,1.0376463846318134,1.3588673882280866
2021-03-30,1.0416507689236594,1.3604810543396062
2021-03-31,1.0570432379462091,1.3606647472184292
2021-04-01,1.0686962932184654,1.376295266345971
2021-04-05,1.0754716704929634,1.3891905599484138
2021-04-06,1.0873990926853265,1.390963299944722
2021-04-07,1.0853106755996595,1.3865984762816819
2021-04-08,1.0887544392396766,1.3893152720609296
2021-04-09,1.096676173342888,1.3975089122615678
2021-04-12,1.0989553938672925,1.399469645471222
2021-04-13,1.1062352822299637,1.399558107392919
2021-04-14,1.1135452932179297,1.4013593303748044
2021-04-15,1.1208481647415358,1.4137848855047193
2021-04-16,1.1241151176935578,1.4198293945227032
2021-04-19,1.117954101943572,1.4130259641723784
2021-04-20,1.0939379796889315,1.4021682546586147
2021-04-21,1.1218928358147362,1.4191966964358878
2021-04-22,1.1148277287902155,1.4114153788939736
2021-04-23,1.13647710458365,1.426743985175615
2021-04-26,1.1446751679815796,1.4299457808506633
2021-04-27,1.149622348893146,1.4321207077188778
2021-04-28,1.1486088883538452,1.4311810123240196
2021-04-29,1.15807908488645,1.4402164047693915
2021-04-30,1.1476402538391623,1.4290653216854936
2021-05-03,1.1495810170666434,1.4366165176758907
2021-05-04,1.1387650356484627,1.4326012269542556
2021-05-05,1.1453757668677125,1.434923615637901
2021-05-06,1.1402268385129326,1.4407932819346247
2021-05-07,1.1668195592029018,1.4567544414985114
2021-05-10,1.1455474704233568,1.449322973428004
2021-05-11,1.13639654433784,1.4346140085676058
2021-05-12,1.1003093361678322,1.4014550594757518
2021-05-13,1.115236325691066,1.4203380263480252
2021-05-14,1.1453200164127717,1.4430253247161036
2021-05-17,1.1387926068259728,1.4403382858012441
2021-05-18,1.1320941293771507,1.4288282618806785
2021-05-19,1.1274025706196185,1.422021448495524
2021-05-20,1.1400867183842727,1.4345603299315008
2021-05-21,1.1436463817968816,1.4370933512858155
2021-05-24,1.155966973468257,1.4465497361655713
2021-05-25,1.1555294634685531,1.440631633375287
2021-05-26,1.1652632474112665,1.4468710822812871
2021-05-27,1.1761174916298627,1.453160899000864
2021-05-28,1.1758516571986313,1.4552798452266444
2021-06-01,1.1776553757303083,1.4599115789456347
2021-06-02,1.167050087424555,1.4612083224170749
2021-06-03,1.1594694286020197,1.458517365778565
2021-06-04,1.1672138794354108,1.467127360648614
2021-06-07,1.1613286037196715,1.4654192466796767
2021-06-08,1.1687772488024528,1.4682014672194366
2021-06-09,1.1609750220530044,1.4624015622847144
2021-06-10,1.1555526221677694,1.4658464410722585
2021-06-11,1.162913441634368,1.4711051442458563
2021-06-14,1.1542757750258892,1.466664762123313
2021-06-15,1.1571862779648332,1.466186104775219
2021-06-16,1.1482821457820025,1.4565277745864278
2021-06-17,1.1256535609261888,1.445176564391241
2021-06-18,1.1064520087889382,1.4218460798493189
2021-06-21,1.1325305093339137,1.4485944002748883
2021-06-22,1.1332500475533942,1.451695977637247
2021-06-23,1.1346906726148687,1.449815999668839
2021-06-24,1.1454678852159164,1.4597959468678592
2021-06-25,1.1531955353810628,1.470083774559175
2021-06-28,1.1481948623196525,1.4655674601588016
2021-06-29,1.1453475806070013,1.4642784324020368
2021-06-30,1.154913872381788,1.466286007963034
2021-07-01,1.163676712727656,1.4761526841390158
2021-07-02,1.1628812923516794,1.4801002579487943
2021-07-06,1.1436062587076956,1.4694969203198391
2021-07-07,1.1480387721933325,1.4739024984805995
2021-07-08,1.1276245639373457,1.4587505120730142
2021-07-09,1.1601621550224237,1.4811255456488204
2021-07-12,1.1667519286925874,1.4846256838113498
2021-07-13,1.1457692109075948,1.471444651557733
2021-07-14,1.1404367467489216,1.468892514775231
2021-07-15,1.138102456222697,1.466074279672305
2021-07-16,1.1166677123374849,1.4556323322353613
2021-07-19,1.0885675904438903,1.429755059522958
2021-07-20,1.12194230870495,1.457379802119202
2021-07-21,1.1480746186352835,1.4716264290726668
2021-07-22,1.1335847824644087,1.4681883583809765
2021-07-23,1.1368049479754858,1.480501554679864
2021-07-26,1.150329620632717,1.4843808272303052
2021-07-27,1.1463686056596996,1.4818094643017905
2021-07-28,1.1497298161370806,1.4830523082422666
2021-07-29,1.1585296001468413,1.4937184769985465
2021-07-30,1.1497336371772557,1.490023403728491
2021-08-02,1.144855821989738,1.487936454099039
2021-08-03,1.1579427916823362,1.499441435581205
2021-08-04,1.1391358454682408,1.4874628521800157
2021-08-05,1.1607764788786412,1.4979088285979119
2021-08-06,1.1757113324824875,1.5043121155581245
2021-08-09,1.173824777717934,1.5017285353506507
2021-08-10,1.1879558562043817,1.5074931414846353
2021-08-11,1.1965601516690672,1.5165351394503492
2021-08-12,1.1921885755912436,1.5165019770557986
2021-08-13,1.1896988221612927,1.5166415525958326
2021-08-16,1.1901138789243084,1.5172359836276386
2021-08-17,1.1756282831669136,1.5059994770128051
2021-08-18,1.1642861842012604,1.4913969908748932
2021-08-19,1.1543852442445361,1.4875506609049556
2021-08-20,1.1609614334506837,1.4982808294906926
2021-08-23,1.178447854145628,1.5097739070739322
